#filename	date	concept_num	concept
21106111	2010-12-20	MUC6	5
21217519	2011-04-20	MUC5B	4
28100868	2017-01-19	BAX	1
28100868	2017-01-19	DNAJB9	1
28100868	2017-01-19	AKT1	1
28100868	2017-01-19	HSPA5	1
28100868	2017-01-19	BCL2	1
28100868	2017-01-19	HMOX1	1
26287365	2015-08-20	AKT1	5
19283466	2009-07-29	IL1A	2
21331530	2011-06-09	NODAL	1
8765416	1996-09-17	IL1B	1
17955299	2008-02-15	NODAL	1
27143606	2016-05-28	PCNA	1
26586401	2016-05-21	EPCAM	1
11920540	2002-03-28	PEMT	14
19443413	2009-05-15	ERCC1	2
27429820	2016-07-19	KRT20	1
27429820	2016-07-19	KRT7	1
12437251	2002-11-19	NODAL	1
8128916	1994-04-12	HCCS	1
18219909	2008-01-28	HCCS	1
23573322	2013-04-10	EPCAM	1
23573322	2013-04-10	MUC2	1
23573322	2013-04-10	PEMT	1
23573322	2013-04-10	SYP	1
23573322	2013-04-10	MUC6	1
23573322	2013-04-10	MUC5AC	1
23573322	2013-04-10	KRT20	1
23573322	2013-04-10	KRT7	1
23573322	2013-04-10	KRT8	1
24764654	2014-04-25	HCCS	3
26501139	2015-10-27	CSF2RB	3
26501139	2015-10-27	PTEN	5
26501139	2015-10-27	CTNNB1	2
22089259	2012-04-24	NODAL	2
8698619	1996-09-05	IL1B	4
24700501	2014-08-26	MAPK3	1
24700501	2014-08-26	AKT1	1
24700501	2014-08-26	S1PR2	6
27068811	2016-04-12	PCSK7	3
24934735	2015-03-11	HCCS	2
19531241	2009-06-30	CYP1A1	4
25538178	2015-02-28	AES	3
8406299	1993-11-23	HCCS	2
22875246	2013-01-30	AKT1	1
22875246	2013-01-30	MMP2	1
22875246	2013-01-30	MTOR	3
22875246	2013-01-30	TWIST1	1
16427829	2006-01-23	NODAL	1
23684102	2013-09-23	KLF17	6
23684102	2013-09-23	TJP1	1
23684102	2013-09-23	VIM	1
22607679	2012-05-29	BOC	1
25744243	2015-03-06	CDH2	1
25744243	2015-03-06	SOCS3	7
25744243	2015-03-06	STAT3	4
25744243	2015-03-06	CDH17	2
25744243	2015-03-06	VIM	2
24528044	2014-02-17	NFE2L2	9
25012246	2014-10-30	MVD	2
25012246	2014-10-30	EPHB4	2
25012246	2014-10-30	PXN	1
25012246	2014-10-30	EFNB1	4
25176314	2014-09-15	SPP1	5
25176314	2014-09-15	NOTCH1	9
16863567	2006-07-25	SPINK1	5
17589383	2007-12-13	IL1B	2
8025966	1994-08-10	NODAL	1
21672940	2011-12-26	ROCK2	4
21672940	2011-12-26	EZH2	1
21482471	2011-04-28	CYP1B1	7
21482471	2011-04-28	CYP1A1	6
