#filename	date	concept_num	concept
1530292	1992-10-20	Colorectal cancer	1
1530292	1992-10-20	Liver cancer	2
11180868	2001-02-22	Bile duct cancer	2
25165040	2015-07-07	Liver cancer	6
20202823	2010-03-22	Bile duct cancer	13
20202823	2010-03-22	Liver cancer	5
19287191	2009-03-16	Bile duct cancer	11
19798692	2009-12-29	Bile duct cancer	4
24599477	2014-08-29	Bile duct cancer	8
24599477	2014-08-29	Liver cancer	1
15720985	2005-02-21	Bile duct cancer	3
23968734	2013-11-18	Colorectal cancer	5
18539957	2008-06-09	Liver cancer	4
25253961	2014-09-25	Liver cancer	9
25704541	2015-09-16	Bile duct cancer	2
8333369	1993-08-17	Colorectal cancer	1
8333369	1993-08-17	Liver cancer	1
24121258	2013-10-14	Bile duct cancer	3
8416644	1993-01-21	Pancreatic Cancer	1
8416644	1993-01-21	Colorectal cancer	4
20027689	2009-12-22	Bile duct cancer	2
19591162	2009-07-15	Bile duct cancer	5
23320827	2013-01-31	Bile duct cancer	1
19265264	2009-03-06	Bile duct cancer	6
21254169	2011-01-21	Liver cancer	7
25762481	2015-10-07	Bile duct cancer	5
22271564	2012-05-30	Bile duct cancer	4
16556412	2006-03-24	Liver cancer	3
16373701	2005-12-23	Bile duct cancer	3
10414182	1999-09-14	Bile duct cancer	4
10414182	1999-09-14	Liver cancer	1
21106111	2010-12-20	Bile duct cancer	2
12913082	2003-08-12	Bile duct cancer	21
12913082	2003-08-12	Liver cancer	12
28100868	2017-01-19	Bile duct cancer	3
26287365	2015-08-20	Bile duct cancer	6
21331530	2011-06-09	Stomach cancer	3
21245628	2011-01-19	Bile duct cancer	1
21245628	2011-01-19	Pancreatic Cancer	2
8765416	1996-09-17	Bile duct cancer	1
22605658	2012-11-20	Pancreatic Cancer	6
17955299	2008-02-15	Bile duct cancer	5
17465484	2007-04-30	Liver cancer	7
27143606	2016-05-28	Bile duct cancer	2
26586401	2016-05-21	Bile duct cancer	12
26586401	2016-05-21	Liver cancer	7
24975045	2014-12-17	Pancreatic Cancer	1
24975045	2014-12-17	Colorectal cancer	1
15486936	2004-10-21	Colorectal cancer	1
20523993	2010-09-10	Liver cancer	3
24267544	2013-11-25	Colorectal cancer	8
11920540	2002-03-28	Bile duct cancer	7
25435578	2014-12-01	Bile duct cancer	1
25435578	2014-12-01	Pancreatic Cancer	1
19768150	2009-09-21	Bile duct cancer	3
23226796	2012-12-10	Bile duct cancer	2
15695398	2005-02-07	Bile duct cancer	7
17260102	2007-04-05	Colorectal cancer	1
27429820	2016-07-19	Bile duct cancer	4
27429820	2016-07-19	Colorectal cancer	5
27429820	2016-07-19	Liver cancer	1
12437251	2002-11-19	Bile duct cancer	2
11827193	2002-02-05	Bile duct cancer	3
8128916	1994-04-12	Colorectal cancer	1
8128916	1994-04-12	Liver cancer	4
18219909	2008-01-28	Liver cancer	1
23573322	2013-04-10	Bile duct cancer	15
23573322	2013-04-10	Liver cancer	9
16202646	2006-08-07	Liver cancer	1
24764654	2014-04-25	Liver cancer	6
17684367	2007-08-31	Bile duct cancer	2
26501139	2015-10-27	Bile duct cancer	9
22089259	2012-04-24	Bile duct cancer	6
8698619	1996-09-05	Bile duct cancer	3
15608662	2005-02-09	Liver cancer	6
24700501	2014-08-26	Bile duct cancer	3
27068811	2016-04-12	Liver cancer	1
21590167	2011-05-18	Pancreatic Cancer	1
21590167	2011-05-18	Bile duct cancer	1
21590167	2011-05-18	Stomach cancer	1
22038508	2011-11-28	Bile duct cancer	7
21224690	2011-01-12	Bile duct cancer	4
25526028	2014-12-20	Colorectal cancer	2
9860474	1999-01-14	Colorectal cancer	1
