#filename	date	concept_num	concept
17867575	2007-09-17	Colorectal cancer	1
22509371	2012-04-17	Colorectal cancer	7
23285162	2013-01-03	Colorectal cancer	6
23422094	2013-04-17	Colorectal cancer	1
17066435	2007-01-02	Colorectal cancer	2
11818965	2002-01-30	Colorectal cancer	1
15892897	2005-06-20	Colorectal cancer	3
22159423	2012-02-01	Colorectal cancer	7
20716632	2010-09-03	Colorectal cancer	7
20544845	2010-06-14	Stomach cancer	1
20544845	2010-06-14	Colorectal cancer	1
20167130	2010-03-11	Colorectal cancer	1
17260102	2007-04-05	Colorectal cancer	1
15036665	2004-03-23	Colorectal cancer	2
2092281	1991-06-13	Colorectal cancer	3
23238028	2012-12-14	Colorectal cancer	6
18436711	2008-06-20	Colorectal cancer	1
15484219	2005-02-01	Colorectal cancer	3
21394385	2011-08-02	Colorectal cancer	6
17964713	2007-11-20	Colorectal cancer	5
19288003	2009-03-16	Colorectal cancer	1
17234795	2007-01-19	Colorectal cancer	3
23202799	2013-01-07	Colorectal cancer	4
2449952	1988-04-14	Colorectal cancer	1
1283926	1993-03-24	Colorectal cancer	1
12499245	2002-12-24	Colorectal cancer	2
17259330	2007-01-29	Colorectal cancer	1
8545111	1996-02-09	Colorectal cancer	4
23756867	2013-07-10	Colorectal cancer	4
23471862	2013-04-15	Colorectal cancer	2
24459669	2014-01-24	Colorectal cancer	1
16336960	2005-12-20	Colorectal cancer	3
15102683	2004-04-22	Bile duct cancer	1
15102683	2004-04-22	Colorectal cancer	3
20735430	2010-09-23	Colorectal cancer	9
18461674	2008-05-07	Colorectal cancer	1
18461674	2008-05-07	Liver cancer	2
16030091	2005-07-20	Colorectal cancer	7
21644034	2011-06-21	Colorectal cancer	5
24107445	2013-12-09	Colorectal cancer	6
21079973	2011-01-03	Colorectal cancer	1
12673484	2003-04-03	Colorectal cancer	4
3619397	1987-09-23	Colorectal cancer	2
19836313	2009-11-30	Colorectal cancer	2
15289873	2004-08-03	Colorectal cancer	2
16401477	2006-01-10	Colorectal cancer	3
19197985	2009-03-16	Colorectal cancer	1
17825155	2007-09-10	Colorectal cancer	4
11993509	2002-05-07	Esophageal cancer	1
11993509	2002-05-07	Stomach cancer	1
11993509	2002-05-07	Colorectal cancer	1
23686779	2013-05-20	Colorectal cancer	9
15037663	2004-03-23	Colorectal cancer	2
12351157	2002-09-27	Colorectal cancer	7
17363593	2007-03-16	Colorectal cancer	2
2174463	1991-01-17	Colorectal cancer	7
12759540	2003-05-21	Colorectal cancer	4
1849388	1991-05-06	Colorectal cancer	3
24823678	2014-05-27	Colorectal cancer	1
21556672	2011-05-10	Colorectal cancer	1
11381263	2001-05-30	Colorectal cancer	1
22699929	2012-09-21	Colorectal cancer	1
16055198	2005-09-12	Colorectal cancer	3
17975166	2007-11-02	Colorectal cancer	2
10071246	1999-03-16	Colorectal cancer	3
19621336	2009-08-13	Colorectal cancer	7
9814374	1999-03-11	Colorectal cancer	3
11205269	2001-02-06	Colorectal cancer	3
17591929	2007-06-26	Colorectal cancer	3
11097226	2001-02-12	Colorectal cancer	3
9355738	1997-12-02	Colorectal cancer	1
9355738	1997-12-02	Liver cancer	1
24044037	2013-09-17	Colorectal cancer	2
11866904	2002-02-27	Colorectal cancer	4
24606466	2014-03-10	Colorectal cancer	2
23091721	2012-10-23	Colorectal cancer	1
12351160	2002-09-27	Colorectal cancer	10
24548858	2014-03-19	Colorectal cancer	6
10585277	2000-01-11	Colorectal cancer	4
14574157	2003-10-23	Colorectal cancer	7
23486085	2013-04-03	Colorectal cancer	8
16103071	2005-08-16	Colorectal cancer	3
16456034	2006-02-03	Colorectal cancer	1
20590835	2010-07-01	Stomach cancer	1
20590835	2010-07-01	Colorectal cancer	2
7913010	1994-08-11	Colorectal cancer	2
21885812	2011-12-06	Colorectal cancer	4
19863608	2010-10-14	Colorectal cancer	8
16127422	2005-10-20	Colorectal cancer	1
21071349	2010-11-24	Colorectal cancer	6
8538196	1996-02-06	Colorectal cancer	6
11948229	2002-04-11	Colorectal cancer	5
17223937	2007-01-16	Colorectal cancer	4
17845756	2007-09-11	Colorectal cancer	5
18777195	2009-02-02	Colorectal cancer	6
16240060	2005-11-24	Colorectal cancer	6
